State,Name,Subname,Stats,Leader Skill,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition
Base,Hit,Mission for the Survival of Universe 6,"Base Max Lv 55% 100% | HP 2,663 8,789 9,989 12,029 | ATK 2,547 8,406 9,606 11,406 | DEF 880 2,904 4,104 5,664","Leader Skill PHY Type Ki +3 and HP, ATK & DEF +50%",Passive Skill Assassin's Speed ATK & DEF +166% Changes INT Ki Spheres to Rainbow Ki Spheres Launches an additional attack that has a 66% chance of becoming a Super Attack within the same turn with a Rainbow Ki Sphere obtained High chance of evading enemy's attack (including Super Attack) Plus an additional ATK & DEF +166% and chance of evading enemy's attack (including Super Attack) +16% when Ki is 12 Plus an additional ATK & DEF +66% within the same turn with each attack performed Plus an additional chance of evading enemy's attack (including Super Attack) +6% within the same turn with each Super Attack performed Counters with enormous power after evading an attack Medium chance of stunning the attacked enemy,N/A,Raises DEF for 1 turn and causes supreme damage with a medium chance of stunning the enemy,N/A,"Infighter, Experienced Fighters, Cold Judgment, Tournament of Power, Warriors of Universe 6, Shocking Speed, Shattering the Limit","Universe Survival Saga, Rapid Growth, Universe 6, Super Bosses, Tournament Participants, Space-Traveling Warriors, Legendary Existence, Target: Goku, Accelerated Battle",[]
Base,Frieza (Final Form)/Cooler (Final Form),Glorious Clan,"Base Max Lv 55% 100% | HP 2,286 7,546 8,746 10,786 | ATK 2,416 7,975 9,175 10,975 | DEF 1,231 4,064 5,264 6,824","Leader Skill ""Wicked Bloodline"" Category Ki +3 and HP, ATK & DEF +50%","Passive Skill I'm the Strongest in the Universe Ki +2 and ATK & DEF +150% Plus an additional ATK +25% with each turn passed (up to 100%) Reduces damage received by 20% when HP is 50% or more Plus an additional ATK +50% and medium chance of performing a critical hit when HP is 80% or less Plus an additional ATK & DEF +150% when performing a Super Attack and if there is another ""Wicked Bloodline"" Category ally attacking in the same turn, plus an additional ATK & DEF +100% and reduces damage received by 20% Plus an additional Ki +2 and chance of performing a critical hit +50% when all allies attacking in the same turn are Extreme Class","Active Skill Exchange Condition: Can be activated starting from the 5th turn from the character's entry turn, or when HP is 50% or less (once only) Exchanges with another character Animation: Play","Greatly raises ATK, greatly raises DEF for 1 turn and causes supreme damage to enemy",N/A,"Big Bad Bosses, Universe’s Most Malevolent, Strongest Clan in Space, Nightmare, Thirst for Conquest, Shocking Speed, Shattering the Limit","Wicked Bloodline, Transformation Boost, Sworn Enemies, Gifted Warriors, Space-Traveling Warriors, Time Travelers, Terrifying Conquerors, Inhuman Deeds, Planetary Destruction","Can be activated starting from the 5th turn from the character's entry turn, or when HP is 50% or less (once only)"
Transformation,Cooler (Final Form),Glorious Clan,"Base Max Lv 55% 100% | HP 2,286 7,546 8,746 10,786 | ATK 2,416 7,975 9,175 10,975 | DEF 1,231 4,064 5,264 6,824","Leader Skill ""Wicked Bloodline"" Category Ki +3 and HP, ATK & DEF +50%","Passive Skill Let's Decide Who's the Strongest Ki +2 and ATK & DEF +150% Reduces damage received by 20% and for 1 turn from the character's entry turn, plus an additional damage reduction of 20% Launches 2 additional attacks, each of which has a medium chance of becoming a Super Attack Plus an additional ATK & DEF +200% when performing a Super Attack Plus an additional ATK & DEF +30% and an additional damage reduction of 10% within the same turn with each Super Attack performed Launches an additional Super Attack every time the character performs a Super Attack 3 or more times in battle (up to once within a turn)",N/A,Raises ATK & DEF for 4 turns and causes supreme damage to enemy,N/A,"Big Bad Bosses, Universe’s Most Malevolent, Strongest Clan in Space, Nightmare, Thirst for Conquest, Shocking Speed, Shattering the Limit","Wicked Bloodline, Transformation Boost, Sworn Enemies, Gifted Warriors, Space-Traveling Warriors, Time Travelers, Terrifying Conquerors, Inhuman Deeds, Planetary Destruction",N/A
Base,Beerus,Devastating Punishment,"Base Max Lv 55% 100% | HP 3,350 11,322 14,122 17,762 | ATK 3,344 11,663 14,463 19,223 | DEF 2,309 4,499 7,299 11,499","Leader Skill (Super Extreme) TEQ Type Ki +3 and HP, ATK & DEF +90%","Passive Skill (Super Extreme) Quivering Anger Ki +3 and ATK & DEF +160% Plus an additional ATK & DEF +160% and high chance of performing a critical hit when performing a Super Attack Plus an additional DEF +160% and guards all attacks when there is another ""Movie Bosses"", ""Realm of Gods"" or ""Exploding Rage"" Category ally attacking in the same turn Plus an additional ATK & DEF +40% with each attack received (up to 160%) Reduces damage received by 30% when HP is 30% or more, plus an additional damage reduction of 30% when HP is 60% or more Great chance of launching an additional Super Attack when HP is 60% or less Super Class allies' Ki +2 and ATK +30% Extreme Class allies' Ki +2 and DEF +30% Rages when conditions are met",N/A,Causes immense damage to enemy and greatly lowers DEF,N/A,"Godly Power, Prodigies, Connoisseur, The Innocents, Shocking Speed, Fierce Battle","Realm of Gods, Worthy Rivals, Siblings' Bond, Bond of Master and Disciple, Movie Bosses, Space-Traveling Warriors, Legendary Existence, Planetary Destruction, Exploding Rage, Battle of Fate",N/A
Base,Warrior in Black (Super Saiyan) (Dark Dragon Ball Boost),Enigmatic Fighter,"Base Max Lv 55% 100% | HP 3,026 9,989 11,989 15,389 | ATK 2,740 9,043 11,043 14,043 | DEF 1,355 4,474 6,474 9,074","Leader Skill ""Super Saiyans"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill Boost Received through the Dark Dragon Balls Ki +2 and ATK & DEF +150% Medium chance of performing a critical hit Plus an additional ATK & DEF +100% when attacking, plus an additional ATK +150% and chance of performing a critical hit +30% when attacking if the target enemy's HP is 70% or less, plus an additional ATK +150% and chance of performing a critical hit +30% when attacking if the target enemy's HP is 40% or less Plus an additional ATK +50% and launches an additional Super Attack when the target enemy is in ""ATK Down"" status, in ""DEF Down"" status, stunned or the target enemy's Super Attack is sealed Reduces damage received by 40%, plus an additional damage reduction of 15% within the same turn before attacking an enemy whose HP is 70% or less, plus an additional damage reduction of 15% within the same turn before attacking an enemy whose HP is 40% or less Plus an additional ATK & DEF +100% and launches an additional Super Attack for the rest of battle after delivering a final blow",N/A,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy and greatly lowers ATK & DEF",N/A,"Saiyan Warrior Race, Super Saiyan, Experienced Fighters, The Saiyan Lineage, Saiyan Pride, Prepared for Battle, Fierce Battle","Pure Saiyans, Goku's Family, Super Saiyans, Bond of Parent and Child, Time Travelers, Dragon Ball Seekers, Crossover, Dragon Ball Heroes",[]
Base,Super Saiyan God SS Goku (Universe Tree Power),Darkness-Purging Universe Tree Power,"Base Max Lv 55% 100% | HP 2,622 8,654 10,654 13,654 | ATK 2,827 9,331 11,331 14,731 | DEF 1,449 4,782 6,782 9,382","Leader Skill ""Dragon Ball Heroes"", ""Kamehameha"" or ""Power Beyond Super Saiyan"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Crossover"" Category","Passive Skill The Possibilities of This Universe Activates the Entrance Animation upon the character's entry (once only) and DEF +200% and launches an additional Super Attack for 4 turns from the character's entry turn Ki +2 and ATK & DEF +150% Plus an additional ATK +150% when attacking Plus an additional DEF +40% with each attack performed (up to 200%) Launches an additional attack that has a great chance of becoming a Super Attack and randomly changes Ki Spheres of a certain Type (STR excluded) to STR Ki Spheres when there are 3 or more ""Crossover"" Category allies or an ally whose name includes ""Xeno"" on the team Plus an additional ATK +50% for the rest of battle and great chance of guarding all attacks within the same turn with 3 or more Ki Spheres obtained Plus an additional ATK +100% for the rest of battle and guards all attacks within the same turn with 5 or more Ki Spheres obtained Plus an additional ATK +150% for the rest of battle with 7 or more Ki Spheres obtained Plus an additional damage reduction of 40% when guard is activated Animations: Entry","Active Skill Unyielding Fused Kamehameha Condition: Can be activated when there is an ally whose name includes ""Xeno"" attacking in the same turn, or starting from the 5th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; DEF +30% and all attacks become critical hits for 1 turn Animation: Ultimate Special","Raises ATK & DEF for 1 turn, causes immense damage to enemy and medium chance of performing a critical hit for 1 turn",N/A,"Super Saiyan, Kamehameha, Shocking Speed, Warrior Gods, Godly Power, Prepared for Battle, Fierce Battle","Pure Saiyans, Goku's Family, Power Beyond Super Saiyan, Kamehameha, Realm of Gods, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Time Travelers, Accelerated Battle, Crossover, Dragon Ball Heroes",[]
Base,Dark King Demigra (Power of Time Unleashed),Creation of a Dark World,"Base Max Lv 55% 100% | HP 2,684 8,859 10,859 13,459 | ATK 2,715 8,961 10,961 14,361 | DEF 1,558 5,142 7,142 10,142","Leader Skill ""Demonic Power"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill True Power of the Dark Factor Ki +2 and ATK & DEF +240% Plus an additional ATK & DEF +120% when performing a Super Attack High chance of performing a critical hit Reduces damage received by 40% Plus an additional damage reduction of 20% when there is another ""Crossover"" or ""Demonic Power"" Category ally attacking in the same turn Plus an additional damage reduction of 20% before attacking when all allies attacking in the same turn are Extreme Class Plus an additional ATK +40% with each attack received (up to 240%) Plus an additional ATK & DEF +120% as the 1st attacker in a turn Extreme Class allies' ATK +60% and chance of performing a critical hit +24% as the 2nd or 3rd attacker in a turn",N/A,Greatly raises ATK for 1 turn and causes supreme damage to enemy; Extreme Class allies' DEF +30% for 1 turn (self excluded),N/A,"Brainiacs, Big Bad Bosses, Revival, Master of Magic, Godly Power, Fear and Faith, Fierce Battle","Realm of Gods, Demonic Power, Resurrected Warriors, Time Travelers, Storied Figures, Crossover, Dragon Ball Heroes",[]
Base,Aeos,Space-Time Selector,"Base Max Lv 55% 100% | HP 2,902 9,578 11,578 14,578 | ATK 2,541 8,386 10,386 13,386 | DEF 1,666 5,501 7,501 10,501","Leader Skill ""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill Aeos' Grand Mission ATK & DEF +120% Plus an additional DEF +120% when receiving an attack Plus an additional DEF +120% if there is another ""Crossover"" Category ally attacking in the same turn and when receiving an attack, plus an additional DEF +120% All enemies' ATK & DEF -24% and medium chance of stunning all enemies at the start of turn High chance of evading enemy's attack (including Super Attack) Plus an additional chance of evading enemy's attack (including Super Attack) +10% within the same turn and an additional ATK +60% (up to 240%) with each attack evaded (including Super Attack) All allies' Ki +2 and ATK & DEF +40%, plus an additional Ki +1 and ATK & DEF +24% for ""Crossover"" Category characters Recovers 24% HP at the end of the turn in which an attack was received",N/A,"Raises ATK & DEF for 1 turn, causes supreme damage to enemy and seals Super Attack",N/A,"Telekinesis, More Than Meets the Eye, Solid Support, Cold Judgment, Master of Magic, Godly Power, Fierce Battle","Potara, Realm of Gods, Time Travelers, Storied Figures, Crossover, Dragon Ball Heroes",[]
Base,Fu (Youth) (Dogidogi Fully Absorbed),Dark Barrier That Isolates All,"Base Max Lv 55% 100% | HP 2,404 7,936 9,936 12,536 | ATK 2,889 9,536 11,536 14,536 | DEF 1,480 4,885 6,885 10,285","Leader Skill ""Time Travelers"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill The Universe Created by Fu Ki +2 and ATK & DEF +150% Plus an additional ATK & DEF +50% and chance of performing a critical hit +20% per ""Crossover"" or ""Time Travelers"" Category ally attacking in the same turn Plus an additional ATK & DEF +100% when performing a Super Attack Launches an additional attack that has a high chance of becoming a Super Attack Launches another additional attack that has a great chance of becoming a Super Attack and reduces damage received by 20% when there is another Extreme Class ally attacking in the same turn or when there is a Super Class enemy Chance of performing a critical hit +20% (up to 40%) and reduces damage received by 20% (up to 40%) within the same turn with each Super Attack performed High chance of changing all Ki Spheres to AGL & TEQ Ki Spheres starting from the 5th turn from the start of battle (once only)",N/A,"Greatly raises ATK, greatly raises DEF for 1 turn and causes supreme damage with a high chance of stunning the enemy",N/A,"Demonic Power, Brainiacs, Cold Judgment, Big Bad Bosses, Godly Power, Fear and Faith, Fierce Battle","Youth, Transformation Boost, Power Absorption, Realm of Gods, Demonic Power, Time Travelers, Battle of Wits, Accelerated Battle, Crossover, Dragon Ball Heroes",[]
Base,Towa,Ambition to Rebuild the Demon Realm,"Base Max Lv 55% 100% | HP 2,236 9,869 11,069 12,869 | ATK 1,673 7,385 8,585 10,625 | DEF 2,186 9,647 10,847 12,407","Leader Skill (Extreme) ""Dragon Ball Heroes"" Category Ki +3 and HP, ATK & DEF +77%; or STR Type Ki +3 and HP, ATK & DEF +50%","Passive Skill (Extreme) Extracted Dark Factor ATK & DEF +200% Plus an additional ATK & DEF +150% when performing a Super Attack High chance of evading enemy's attack (including Super Attack) as the 2nd or 3rd attacker in a turn Plus an additional chance of evading enemy's attack (including Super Attack) +5% (up to 15%) with each attack evaded (including Super Attack) All allies' ATK & DEF +30% when there are another 3 or more Extreme Class allies on the team All allies' ATK & DEF +15% for 2 turns after the character evades 3 or more attacks (including Super Attack) in battle when there are another 3 or more Extreme Class allies on the team (once only) Plus an additional ATK & DEF +100% when performing a Super Attack, all allies' Ki +2 and ATK & DEF +20% and changes AGL Ki Spheres to STR Ki Spheres when all allies are in the ""Dragon Ball Heroes"" or ""Crossover"" Category",N/A,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy,N/A,"Demonic Power, Solid Support, Battlefield Diva, Master of Magic, Thirst for Conquest, Scientist, Shattering the Limit","Peppy Gals, Demonic Power, Siblings' Bond, Resurrected Warriors, Time Travelers, Terrifying Conquerors, Battle of Wits, Crossover, Dragon Ball Heroes",[]
Base,Super Saiyan Vegeta (Xeno),Confrontation with Unknown Enemies,"Base Max Lv 55% 100% | HP 2,872 12,678 14,678 17,678 | ATK 2,678 11,822 13,822 16,822 | DEF 1,512 6,673 8,673 11,673","Leader Skill (Extreme) ""Vegeta's Family"" Category Ki +3 and HP, ATK & DEF +150%","Passive Skill (Extreme) Reliable Support ATK & DEF +150% Guards all attacks and launches an additional Super Attack for 1 turn from the character's entry turn Plus an additional ATK & DEF +150% when there is another ""Vegeta's Family"" or ""Dragon Ball Heroes"" Category ally on the team ""Vegeta's Family"" Category allies' Ki +3 and ATK & DEF +50% Plus an additional ATK +77% when performing a Super Attack and launches an additional attack that has a high chance of becoming a Super Attack if there is another ""Dragon Ball Heroes"" Category ally attacking in the same turn when attacking or an Extreme Class enemy when attacking",N/A,"Greatly raises ATK & DEF, causes supreme damage to enemy and greatly lowers ATK",N/A,"Super Saiyan, Royal Lineage, Prodigies, Patrol, Experienced Fighters, Prepared for Battle, Shattering the Limit","Pure Saiyans, Vegeta's Family, Super Saiyans, Worthy Rivals, Bond of Parent and Child, Gifted Warriors, Time Travelers, Defenders of Justice, Crossover, Dragon Ball Heroes",[]
