State,Name,Subname,Stats 55% 100%,Leader Skill,Passive Name,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,DMG Multiplier
Base,Android #18,Unlimited Android Assault,"Base Max Lv 55% 100% | HP 2,626 11,592 13,592 16,192 | ATK 2,393 10,561 12,561 15,961 | DEF 1,558 6,878 8,878 11,878","TEQ Type Ki +3 and HP, ATK & DEF +100%",Strong Family Love,"ATK & DEF +180%, Changes PHY & STR Ki Spheres to TEQ Ki Spheres, Plus an additional ATK & DEF +30% per Ki Sphere obtained, Plus an additional DEF +50% when receiving an attack, Medium chance of performing a critical hit, Plus an additional chance of performing a critical hit +18% per Rainbow Ki Sphere obtained (up to 50%), Launches an additional attack that has a high chance of becoming a Super Attack when there is another ""Representatives of Universe 7"" Category ally attacking in the same turn, Reduces damage received by 35% when there is another ""Battle of Wits"" Category ally attacking in the same turn",,"Greatly raises ATK for 1 turn, causes supreme damage to enemy and raises DEF by 50% for 6 turns",,"Android Assault, Twin Terrors, The Innocents, Battlefield Diva, Infinite Energy, Tournament of Power, Shattering the Limit","Universe Survival Saga, Androids, Peppy Gals, Worthy Rivals, Bond of Parent and Child, Siblings' Bond, Representatives of Universe 7, Super Heroes, Tournament Participants, Battle of Wits",,"Nov 21, 2024",140%,530%
Base,Android #17,Quietly Burning Spirit,"Base Max Lv 55% 100% | HP 2,711 11,965 13,965 16,565 | ATK 2,302 10,162 12,162 15,562 | DEF 1,629 7,189 9,189 12,189","TEQ Type Ki +3 and HP, ATK & DEF +100%",Family Vacation Dream,"ATK & DEF +170%, Plus an additional ATK & DEF +17% per Ki Sphere obtained, Plus an additional ATK +50% and DEF +20% per TEQ Ki Sphere obtained, Plus an additional DEF +50% when attacking, Medium chance of evading enemy's attack (including Super Attack), Plus an additional chance of evading enemy's attack (including Super Attack) +17% per Rainbow Ki Sphere obtained (up to 50%), Launches an additional attack that has a great chance of becoming a Super Attack when there is another ""Representatives of Universe 7"" Category ally attacking in the same turn, Performs a critical hit when there is another ""Battle of Wits"" Category ally attacking in the same turn",,"Greatly raises DEF for 1 turn, causes supreme damage to enemy and raises ATK for 6 turns",,"Android Assault, Twin Terrors, Infinite Energy, Patrol, Shocking Speed, Tournament of Power, Shattering the Limit","Universe Survival Saga, Androids, Worthy Rivals, Siblings' Bond, Representatives of Universe 7, Super Heroes, Tournament Participants, Defenders of Justice, Battle of Wits",,"Nov 21, 2024",140%,480%
Base,Piccolo,Wise Warrior,"Base Max Lv 55% 100% | HP 3,792 12,234 14,234 17,234 | ATK 2,944 9,497 11,497 14,497 | DEF 2,088 6,735 8,735 11,735","INT Type Ki +3 and HP, ATK & DEF +100%",All-Out Synergy,"Ki +1 and ATK & DEF +200%, Attacks guaranteed to hit when HP is 80% or less and if HP is 80% or less when attacking, seals the attacked enemy's Super Attack, Plus an additional ATK & DEF +100% when performing a Super Attack, Plus an additional ATK & DEF +100% when there is another ""Representatives of Universe 7"" Category ally attacking in the same turn and if all allies attacking in the same turn are ""Representatives of Universe 7"" Category characters, guards all attacks, ""Tournament Participants"" Category allies' Ki +1 and ATK & DEF +30%, plus an additional Ki +1 and DEF +30% for characters who also belong to the ""Representatives of Universe 7"" Category",,"Massively raises ATK and raises DEF for 1 turn, causes supreme damage to enemy and lowers ATK",,"Prodigies, Experienced Fighters, Namekians, Gaze of Respect, Brainiacs, The First Awakened, Shattering the Limit","Namekians, Fused Fighters, Demonic Power, Worthy Rivals, Bond of Master and Disciple, Representatives of Universe 7, Super Heroes, Tournament Participants, Earth-Bred Fighters, Gifted Warriors, Battle of Wits",,"Nov 21, 2024",135%,530%
Base,Champa,Commands for Securing Victory,"Base Max Lv 55% 100% | HP 2,688 8,872 10,072 11,872 | ATK 2,195 7,246 8,446 10,486 | DEF 1,306 4,313 5,513 7,073","""Universe 6"" Category Ki +3 and HP, ATK & DEF +66%",God of Destruction's Demonstration of Power,"Ki +3, Great chance of ATK +300%, High chance of an additional ATK +400%, Medium chance of an additional ATK +500%, Rare chance of an additional ATK +600%, DEF +50% per Ki Sphere obtained, Plus an additional ATK & DEF +200% when attacking with 3 or more Ki Spheres obtained",,"Greatly raises ATK for 1 turn, causes supreme damage to enemy and greatly lowers DEF",,"Godly Power, Connoisseur, The Innocents, More Than Meets the Eye, Over 9000, Shocking Speed, Shattering the Limit","Universe Survival Saga, Realm of Gods, Siblings' Bond, Bond of Master and Disciple, Universe 6, Space-Traveling Warriors, Dragon Ball Seekers, Planetary Destruction",,"Nov 21, 2024",145%,430%
Base,Saonel & Pirina,Lives Entrusted by Our Brethren,"Base Max Lv 55% 100% | HP 2,437 8,126 9,326 10,886 | ATK 2,486 8,207 9,407 11,447 | DEF 1,068 3,526 4,726 6,526","""Namekians"" Category Ki +4 and HP, ATK & DEF +66%",Gratitude to Our Brethren,"Ki +1 and ATK & DEF +50% per ""Universe 6"" or ""Namekians"" Category ally on the team (depending on which Category has more members), Plus an additional ATK & DEF +100% when attacking, Launches an additional attack that has a great chance of becoming a Super Attack when there is another ""Universe 6"" Category ally attacking in the same turn, Recovers 10% HP at the end of turn when there is another ""Namekians"" Category ally attacking in the same turn, Guards all attacks when all allies attacking in the same turn are ""Universe 6"" or ""Namekians"" Category characters",,"Raises ATK & DEF for 1 turn, causes supreme damage to enemy and raises allies' ATK by 30% for 1 turn",,"Tough as Nails, Cold Judgment, Tournament of Power, Namekians, Warriors of Universe 6, Hero, Shattering the Limit","Universe Survival Saga, Namekians, Fused Fighters, Demonic Power, Joined Forces, Universe 6, Tournament Participants, Entrusted Will, All-Out Struggle",,"Nov 21, 2024",140%,400%
Base,Hit,Mission for the Survival of Universe 6,"Base Max Lv 55% 100% | HP 2,663 8,789 9,989 12,029 | ATK 2,547 8,406 9,606 11,406 | DEF 880 2,904 4,104 5,664","PHY Type Ki +3 and HP, ATK & DEF +50%",Assassin's Speed,"ATK & DEF +166%, Changes INT Ki Spheres to Rainbow Ki Spheres, Launches an additional attack that has a 66% chance of becoming a Super Attack within the same turn with a Rainbow Ki Sphere obtained, High chance of evading enemy's attack (including Super Attack), Plus an additional ATK & DEF +166% and chance of evading enemy's attack (including Super Attack) +16% when Ki is 12, Plus an additional ATK & DEF +66% within the same turn with each attack performed, Plus an additional chance of evading enemy's attack (including Super Attack) +6% within the same turn with each Super Attack performed, Counters with enormous power after evading an attack, Medium chance of stunning the attacked enemy",,Raises DEF for 1 turn and causes supreme damage with a medium chance of stunning the enemy,,"Infighter, Experienced Fighters, Cold Judgment, Tournament of Power, Warriors of Universe 6, Shocking Speed, Shattering the Limit","Universe Survival Saga, Rapid Growth, Universe 6, Super Bosses, Tournament Participants, Space-Traveling Warriors, Legendary Existence, Target: Goku, Accelerated Battle",,"Nov 21, 2024",140%,430%
Base,Frieza (Final Form)/Cooler (Final Form),Glorious Clan,"Base Max Lv 55% 100% | HP 2,286 7,546 8,746 10,786 | ATK 2,416 7,975 9,175 10,975 | DEF 1,231 4,064 5,264 6,824","""Wicked Bloodline"" Category Ki +3 and HP, ATK & DEF +50%",I'm the Strongest in the Universe,"Ki +2 and ATK & DEF +150%, Plus an additional ATK +25% with each turn passed (up to 100%), Reduces damage received by 20% when HP is 50% or more, Plus an additional ATK +50% and medium chance of performing a critical hit when HP is 80% or less, Plus an additional ATK & DEF +150% when performing a Super Attack and if there is another ""Wicked Bloodline"" Category ally attacking in the same turn, plus an additional ATK & DEF +100% and reduces damage received by 20%, Plus an additional Ki +2 and chance of performing a critical hit +50% when all allies attacking in the same turn are Extreme Class","Active Skill Exchange Condition: Can be activated starting from the 5th turn from the character's entry turn, or when HP is 50% or less (once only) Exchanges with another character Animation: Play","Greatly raises ATK, greatly raises DEF for 1 turn and causes supreme damage to enemy",,"Big Bad Bosses, Universe’s Most Malevolent, Strongest Clan in Space, Nightmare, Thirst for Conquest, Shocking Speed, Shattering the Limit","Wicked Bloodline, Transformation Boost, Sworn Enemies, Gifted Warriors, Space-Traveling Warriors, Time Travelers, Terrifying Conquerors, Inhuman Deeds, Planetary Destruction","Can be activated starting from the 5th turn from the character's entry turn, or when HP is 50% or less (once only)","Nov 19, 2024",140%,380%
Transformation,Cooler (Final Form),Glorious Clan,"Base Max Lv 55% 100% | HP 2,286 7,546 8,746 10,786 | ATK 2,416 7,975 9,175 10,975 | DEF 1,231 4,064 5,264 6,824","""Wicked Bloodline"" Category Ki +3 and HP, ATK & DEF +50%",Let's Decide Who's the Strongest,"Ki +2 and ATK & DEF +150%, Reduces damage received by 20% and for 1 turn from the character's entry turn, plus an additional damage reduction of 20%, Launches 2 additional attacks, each of which has a medium chance of becoming a Super Attack, Plus an additional ATK & DEF +200% when performing a Super Attack, Plus an additional ATK & DEF +30% and an additional damage reduction of 10% within the same turn with each Super Attack performed, Launches an additional Super Attack every time the character performs a Super Attack 3 or more times in battle (up to once within a turn)",,Raises ATK & DEF for 4 turns and causes supreme damage to enemy,,"Big Bad Bosses, Universe’s Most Malevolent, Strongest Clan in Space, Nightmare, Thirst for Conquest, Shocking Speed, Shattering the Limit","Wicked Bloodline, Transformation Boost, Sworn Enemies, Gifted Warriors, Space-Traveling Warriors, Time Travelers, Terrifying Conquerors, Inhuman Deeds, Planetary Destruction",,"Nov 19, 2024",140%,430%
Base,Beerus,Devastating Punishment,"Base Max Lv 55% 100% | HP 3,350 11,322 14,122 17,762 | ATK 3,344 11,663 14,463 19,223 | DEF 2,309 4,499 7,299 11,499","(Super Extreme) TEQ Type Ki +3 and HP, ATK & DEF +90%",Quivering Anger,"Ki +3 and ATK & DEF +160%, Plus an additional ATK & DEF +160% and high chance of performing a critical hit when performing a Super Attack, Plus an additional DEF +160% and guards all attacks when there is another ""Movie Bosses"", ""Realm of Gods"" or ""Exploding Rage"" Category ally attacking in the same turn, Plus an additional ATK & DEF +40% with each attack received (up to 160%), Reduces damage received by 30% when HP is 30% or more, plus an additional damage reduction of 30% when HP is 60% or more, Great chance of launching an additional Super Attack when HP is 60% or less, Super Class allies' Ki +2 and ATK +30%, Extreme Class allies' Ki +2 and DEF +30%, Rages when conditions are met",,Causes immense damage to enemy and greatly lowers DEF,,"Godly Power, Prodigies, Connoisseur, The Innocents, Shocking Speed, Fierce Battle","Realm of Gods, Worthy Rivals, Siblings' Bond, Bond of Master and Disciple, Movie Bosses, Space-Traveling Warriors, Legendary Existence, Planetary Destruction, Exploding Rage, Battle of Fate",,"Nov 14, 2024",140%,630%
Base,Warrior in Black (Super Saiyan) (Dark Dragon Ball Boost),Enigmatic Fighter,"Base Max Lv 55% 100% | HP 3,026 9,989 11,989 15,389 | ATK 2,740 9,043 11,043 14,043 | DEF 1,355 4,474 6,474 9,074","""Super Saiyans"" Category Ki +3 and HP, ATK & DEF +130%",Boost Received through the Dark Dragon Balls,"Ki +2 and ATK & DEF +150%, Medium chance of performing a critical hit, Plus an additional ATK & DEF +100% when attacking, plus an additional ATK +150% and chance of performing a critical hit +30% when attacking if the target enemy's HP is 70% or less, plus an additional ATK +150% and chance of performing a critical hit +30% when attacking if the target enemy's HP is 40% or less, Plus an additional ATK +50% and launches an additional Super Attack when the target enemy is in ""ATK Down"" status, in ""DEF Down"" status, stunned or the target enemy's Super Attack is sealed, Reduces damage received by 40%, plus an additional damage reduction of 15% within the same turn before attacking an enemy whose HP is 70% or less, plus an additional damage reduction of 15% within the same turn before attacking an enemy whose HP is 40% or less, Plus an additional ATK & DEF +100% and launches an additional Super Attack for the rest of battle after delivering a final blow",,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy and greatly lowers ATK & DEF",,"Saiyan Warrior Race, Super Saiyan, Experienced Fighters, The Saiyan Lineage, Saiyan Pride, Prepared for Battle, Fierce Battle","Pure Saiyans, Goku's Family, Super Saiyans, Bond of Parent and Child, Time Travelers, Dragon Ball Seekers, Crossover, Dragon Ball Heroes",,"Nov 12, 2024",150%,430%
